url,title,published_raw,published_iso,somali,ice,fraud,court,politicians,feeding_our_future,mn_mentioned,keep,reason,tags,snippet
https://www.fox9.com/news/2025-holiday-shipping-deadlines-usps-fedex-ups-important-dates-remember,"2025 Holiday Shipping Deadlines: USPS, FedEx, UPS important dates to remember",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"With the holidays right around the corner, you need to be sure to mail packages early to ensure on-time delivery. Keep these essential 2025 shipping deadlines in mind from USPS, FedEx, and UPS to ensure your cards and gifts reach their destinations in time for Hanukkah, Christmas, Kwanzaa and other holidays."
https://www.fox9.com/news/abandoned-dog-turns-out-be-toy-reindeer-santas-reindeer-resting-after-test-flight,Abandoned ‘dog’ turns out to be toy reindeer: ‘Santa’s reindeer resting after a test flight’,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"The reindeer got some ""stern words"" for being caught out and about in the middle of November, police said."
https://www.fox9.com/news/alaska-airlines-passenger-charged-midflight-cabin-door,'We’re all going to die': Alaska Airlines passenger accused of trying to open cabin door midflight,,,0,1,0,1,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process,An Alaska Airlines passenger is facing federal charges after allegedly attempting to open the cabin door during a flight from Deadhorse to Anchorage.
https://www.fox9.com/news/anoka-hennepin-teachers-set-date-potential-strike-amid-contract-negotiations,Anoka-Hennepin teachers set date for potential strike amid contract negotiations,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,Anoka-Hennepin teachers have set a date for a potential strike as negotiations continue with the district over a new contract.
https://www.fox9.com/news/australia-terror-suspect-charged-deadly-attack,Surviving Australia terror suspect charged in wake of deadly attack,,,0,1,0,1,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process,"The 24-year-old suspect allegedly perpetrated the terror attack with his father, who was killed by police."
https://www.fox9.com/news/bondi-beach-shooting-hero-australia,Bystander who disarmed Bondi Beach gunman hailed as hero,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,A bystander identified as Ahmed el Ahmed is being hailed as a hero after video captured him disarming a gunman during a mass shooting at a Hanukkah celebration on Sydney’s Bondi Beach.
https://www.fox9.com/news/chiefs-relocation-kansas-2031-nfl-season-new-domed-stadium,Chiefs announce relocation to Kansas by the 2031 NFL season with new domed stadium,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,Owner Clark Hunt acknowledged difficulty leaving Arrowhead Stadium where team has played since 1972.
https://www.fox9.com/news/chris-rea-dies-singer-driving-home-christmas-the-road-hell,"Chris Rea, 'Driving Home for Christmas' and 'The Road to Hell' singer, dies",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"Chris Rea, the singer-songwriter best known for “Driving Home for Christmas,"" has died at 74. Here's what we know."
https://www.fox9.com/news/christmas-tree-dispose-properly-invasive-species-spreading-dec-2025,Dispose Christmas trees properly to avoid invasive species spreading: Ag. Dept.,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,"The best way to spread Christmas cheer is not to spread invasive species hiding in festive foliage, but instead disposing of trees properly."
https://www.fox9.com/news/detroits-robocop-statue-installed-eastern-market-after-years-delays,Detroit's RoboCop statue installed at Eastern Market after years of delays,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"After 15 years, Detroit's RoboCop statue has now found a home."
https://www.fox9.com/news/epstein-files-doj-over-30000-new-documents,"Epstein files: DOJ releases almost 30,000 new documents in investigation, agency says",,,0,1,0,1,1,0,0,1,kept,ICE / immigration enforcement; Court / legal process; Political actors mentioned,"In a social media post Tuesday, the Department of Justice announced the release of nearly 30,000 files in the Jeffrey Epstein case."
https://www.fox9.com/news/flights-most-likely-delayed-christmas-new-years,"These flights are most likely to be delayed this Christmas, New Year’s",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,A new study reveals which U.S. flight routes face the biggest holiday delays – and which might get you home early.
https://www.fox9.com/news/fox-news-sunday-with-shannon-bream,FOX News Sunday with Shannon Bream: How and when to watch on FOX 9,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,You can catch all the action of FOX News Sunday with Shannon Bream on FOX 9 from 8 a.m. to 9 a.m. on Sundays.
https://www.fox9.com/news/from-6-7-skibidi-gen-alpha-slang-decoded,From '6 7' to 'Skibidi': 15 of the most-used Gen Alpha slang terms decoded,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"For anyone dreading sitting across from their teenage cousin and feeling like the oldest person to ever walk the earth as families gather over the next few weeks for the holidays, this one is for you."
