source,title,url,published_raw,published_iso,tags,excerpt
sahanjournal,"For the first time, Minnesota teachers can become licensed to teach Karen, Somali and other heritage languages",https://sahanjournal.com/education/minnesota-teachers-heritage-language-licenses-hmong-karen-somali/,2025-01-06T12:00:00,2025-01-06T12:00:00,Somali community; Immigration / ICE,"<p>Thanks to a 2023 law, dozens of Minnesota teachers are on track to become licensed to teach heritage languages — including two of the first licensed Karen teachers in the nation.</p>
"
sahanjournal,"‘I came here to be safe’: Minnesota journalists who fled Somalia, Ethiopia fear deportation under Trump",https://sahanjournal.com/immigration/somali-news-journalists-minnesota/,2024-12-23T12:00:00,2024-12-23T12:00:00,Somali community; Immigration / ICE,"<p>They survived reporting in one of the most dangerous regions of the world, but worry that their asylum claims in the U.S. won’t protect them.</p>
"
sahanjournal,‘We were already struggling’: Several Somali mothers say they were duped into paying for poor tutoring services,https://sahanjournal.com/education/minnesota-somali-mothers-tutoring-education-tax-credit/,2024-11-18T12:00:00,2024-11-18T12:00:00,Somali community; Immigration / ICE,"<p>Eighteen local Somali mothers say they were unknowingly signed up to pay for thousands of dollars in tutoring services through their state tax refunds.</p>
"
sahanjournal,Minnesota AG sues Nolosha housing developer for fraud as company attacks whistleblower,https://sahanjournal.com/public-safety/minnesota-attorney-general-sues-developers-behind-nolosha-development-in-lakeville-whistleblower-faces-attacks/,2024-10-02T22:07:26,2024-10-02T22:07:26,Somali community; Immigration / ICE; Fraud / scam / prosecution; Social program context,"<p>The lawsuit, which seeks to protect Somali immigrant families, charges Nolosha with consumer fraud, deceptive trade practices and false advertising. </p>
"
sahanjournal,"New Minneapolis police recruits include first Somali American woman, first non-U.S. citizen",https://sahanjournal.com/news-partners/minneapolis-police-recruits-first-somali-american-first-noncitizen/,2024-09-30T15:31:34,2024-09-30T15:31:34,Somali community; Immigration / ICE,"<p>In the four years since George Floyd’s murder, hundreds of officers have left the department and it has struggled to recruit new ones. But city leaders reported last month that the trend has finally started to reverse. </p>
"
sahanjournal,"‘On an awareness journey’: Somali autism summit brings together advocates, families",https://sahanjournal.com/immigration/maangaar-summit-somali-autism-minnesota/,2024-09-09T11:00:00,2024-09-09T11:00:00,Somali community; Immigration / ICE,"<p>The inaugural Maangaar Summit in Bloomington brought together parents, professionals, and service providers to address the unique challenges faced by Somali families with autistic children. </p>
"
sahanjournal,"Minnesota AG, feds probing Nolosha-Lakeville development marketed to Somali families",https://sahanjournal.com/housing/nolosha-development-lakeville-investigation-minnesota-attorney-general/,2024-06-28T00:30:32,2024-06-28T00:30:32,Somali community; Immigration / ICE,"<p>Both the Minnesota Attorney General’s Office and federal authorities confirmed they are investigating the project, which is planned on land tied up in the Feeding Our Future case.</p>
"
sahanjournal,"After boy&#8217;s drowning in Minnehaha Creek, Somali family works to prevent similar deaths",https://sahanjournal.com/news-partners/somali-family-seeks-new-drowning-prevention-measures/,2024-06-17T21:37:35,2024-06-17T21:37:35,Somali community; Immigration / ICE,"<p>Nonprofits say the death highlights a broader need for more culturally-responsive services for Somali families that have children with autism.  </p>
"
sahanjournal,‘Outright insulting’: Minnesota agency comes under fire for poor Hmong translation,https://sahanjournal.com/health/hmong-translation-minnesota-department-of-human-services/,2024-03-11T11:00:00,2024-03-11T11:00:00,Somali community; Immigration / ICE,"<p>Hmong community members and academics say a translation from the Minnesota Department of Human Services was riddled with errors. Somali speakers say a Somali translation is also problematic.</p>
"
sahanjournal,"Top 5 immigration stories of 2023: Driver’s Licenses for All, reunification delays, tragedy in the Somali community",https://sahanjournal.com/immigration/top-five-sahan-immigration-stories-of-2023/,2023-12-27T13:00:00,2023-12-27T13:00:00,Somali community; Immigration / ICE,"<p>Other high-profile stories include Immigration and Customs Enforcement work and a citizenship celebration at the State Fair. </p>
"
sahanjournal,"Top 5 local news stories of 2023: Marijuana legalized, abortion rights affirmed, and more",https://sahanjournal.com/news/top-sahan-news-stories-of-2023/,2023-12-27T12:00:00,2023-12-27T12:00:00,Somali community; Immigration / ICE,"<p>In other major news, several mosques were vandalized, the U.S. Justice Department found Minneapolis police had committed discriminatory practices, and the state began an investigation of contract-for-deed deals with Somali and Latino Minnesotans.</p>
"
sahanjournal,Opinion: The farm bill is a historic opportunity to support farmers of color,https://sahanjournal.com/opinion/farm-bill-farmers-of-color-minnesota-senator-tina-smith/,2023-11-30T12:00:00,2023-11-30T12:00:00,Somali community; Immigration / ICE,"<p>With this farm bill, we have an opportunity to correct historical injustices and uplift Black, Indigenous, Somali, Hmong, Latino, and other farmers of color who have long been marginalized and underserved, says Senator Tina Smith.</p>
"
sahanjournal,Complaint faults mental health treatment for ICE detainees held at Minnesota jails,https://sahanjournal.com/public-safety/minnesota-ice-detainee-mental-health-jail-civil-rights-somali-refugee/,2023-11-16T12:30:00,2023-11-16T12:30:00,Somali community; Immigration / ICE,"<p>The U.S. immigration service contracts with county jails to hold detainees while their cases are decided. A Somali man says the system failed to care for his mental health. </p>
"
sahanjournal,Minnesota doctors bring life-saving equipment and training to Somaliland&#8217;s poor,https://sahanjournal.com/health/ultrasound-devices-somalia-hospitals-minnesota-doctors-abdirahman-madar-max-fraden/,2023-10-16T11:19:00,2023-10-16T11:19:00,Somali community; Immigration / ICE,"<p> Doctors Abdirahman Madar and Max Fraden have worked with donors to get portable ultrasound devices into the hands of Somali doctors, and opened a clinic for non-communicable diseases. Next, they want to tackle Hepatitis C.</p>
"
sahanjournal,Sahan Journal wins national news innovation award for Somali-language text-message service,https://sahanjournal.com/inside-sahan-journal/inn-awards-minnesota-innovative-journalism-somali-language/,2023-08-24T19:34:47,2023-08-24T19:34:47,Somali community; Immigration / ICE; Social program context,"<p>The 2023 Nonprofit News Awards recognized Sahan for &#8220;Tani waa su&#8217;aashayda&#8221; (“Here’s my question”). The weekly audio newsletter and text-message service offers news to Somali immigrants in Minnesota.</p>
"
sahanjournal,"Somali dads, imams reach out to youth causing problems in Dinkytown",https://sahanjournal.com/news-partners/somali-dads-imam-try-curb-late-night-dinkytown-disorder/,2023-07-07T17:50:04,2023-07-07T17:50:04,Somali community; Immigration / ICE,"<p>For weeks, teens have been shooting fireworks at one another in the street beneath a live police camera.  </p>
"
sahanjournal,"Suspect in Minneapolis mosque arsons arrested, charged in federal court",https://sahanjournal.com/news-partners/minneapolis-mosque-fires-suspect-jackie-rahm-lilttle-arrested/,2023-05-01T14:44:21,2023-05-01T14:44:21,Somali community; Immigration / ICE; Fraud / scam / prosecution,"<p>Authorities allege that Jackie Rahm Little also spray-painted graffiti on the door of U.S. Rep. Ilhan Omar’s district office in Minneapolis and a patrol car assigned to a Somali Minneapolis Police officer. He is also accused of threatening Omar.</p>
"
sahanjournal,Two Minnesotans win prestigious graduate scholarships for new Americans; plan to improve diabetes treatment and practice human rights law.,https://sahanjournal.com/education/paul-daisy-soros-fellowships-steven-truong-philsan-isaak-blaine-minnesota/,2023-04-25T09:00:00,2023-04-25T09:00:00,Somali community; Immigration / ICE,"<p>Steven Truong and Philsan Isaak, both from Blaine, received Paul and Daisy Soros Fellowships for New Americans. Truong, who says his parents were “boat people” from Vietnam, is pursuing a M.D./Ph.D. at Stanford University. Philsan, whose parents are refugees from Somalia, is studying law at Yale.</p>
"
sahanjournal,‘Elevate and empower’: How St. Cloud&#8217;s Diverse Voices Press is filling a gap in children’s literature,https://sahanjournal.com/business-work/diverse-voices-press-fills-gap-in-childrens-literature-st-cloud-minnesota/,2023-03-30T11:15:00,2023-03-30T11:15:00,Somali community; Immigration / ICE,"<p>A Somali couple in St. Cloud founded a publishing company to write books for underrepresented communities in children’s books.</p>
"
sahanjournal,"East Village apartment flood left exposed floors, damaged walls, and seniors stranded without elevator service",https://sahanjournal.com/housing/east-village-apartments-elliot-park-minneapolis-aeon-flood-damage-complaints/,2023-03-10T12:00:00,2023-03-10T12:00:00,Somali community; Immigration / ICE,"<p>Several tenants of the East Village apartments say Aeon has left their units and building in shambles more than two months after the flood. The apartments are home to many Somali residents.</p>
"
